hole id,From,To,Core Description & Comments,Color,Lithology,relog codes,Text 1,Text 1 intens.,% Py,% Cp,% Ga,% Sp,% Mt,Alt1 Code,Alt1 Mod,Alt1 int.,Alt2 Code,Alt2 Mod,Alt2 int.,ALT Text mod,Quartz vein style,ANHY Abund.,ANHY Mode,Struct1,Struct1 dens.,VEIN PARA Old,VEIN PARA Young,VEIN PARA DOM. TYPE,OX State,OX Type,OX Abnd.,SEA_relog_grouped,SEA_relog_select
1217,175.1,322.0,"Pervasively qtz+magnetite altered silltstone (ubiquitous textural destruction/overprinting of protoloith texture). Stockwork qtz+mag+bio?+/-galena veins, generally ~1 cm wide veins. Stockwork veining (and attendant silica altn of groundmass) up to ~65%, but ave. ~30%. Hydrbreccia very locally, disarticulating and healing qtz veins (eg 190 meters). Rare coarse xln qtz veins up to 6 cm wide (sterile, late?). Coarse, euhdral galena clusters rarely at coarse xln qtz vein margins and vugs locally (eg 270.3 m).",,U_QM_WR,U_QM_WR,Bx,1.0,1.0,0.1,0.1,,2.0,HFBM,P,4.0,,,,,2.0,,,,,B,,B,5.0,,,Quartz Monzonite,Quartz Monzonite
1217,322.0,324.0,"Muliple, discrete, green/brown, intermediate, unaltered, late dikes - not apparently a single dike.",,DAND,DMAF,Ap,4.0,,,,,0.5,UNA,,,,,,,,,,,,,,,5.0,,,Mafic dykes,Mafic dykes
1217,324.0,423.4,"Pervasively qtz+magnetite altered silltstone (ubiquitous textural destruction/overprinting of protoloith texture). Stockwork qtz+mag+bio?+/-galena veins, generally ~1 cm wide veins. Stockwork veining (and attendant silica altn of groundmass) up to ~65%, but ave. ~30%.). Rare coarse xln qtz veins up to 6 cm wide (sterile, late?). Coarse, euhdral galena clusters rarely at coarse xln qtz vein margins and vugs locally.",,U_QM_WR,U_QM_WR,,,1.0,0.1,0.1,,2.0,HFBM,P,4.0,,,,,2.0,,,,,B,,B,5.0,,,Quartz Monzonite,Quartz Monzonite
1219,0.0,20.2,No recovery/overburden,,NREC,OVBN,,,,,,,,,,,,,,,,,,,,,,,,,,Overburden,Overburden
1219,20.2,35.4,"Laminated sandy silstone; earthy goethite patinas on most fracts. Massive medium crystalline pyrite veins up to 1 cm thick (eg 30.9 m). Rare coarse xln qtz+chlorite+py veins, mostly at top of interval.",,SSLN,SSLN,Lm,3.0,1.0,,,,,HFPR,Pch,1.0,,,,,,,,,,,C,,3.0,G,3.0,Wacke,Wacke
1219,35.4,51.0,"Laminated sandy siltstone with pervasive groundmass bleaching/sericite altn. Increased vuggy, med/coarse xln qtz veining. Patchy hornfels altn: glassy luster with dark patches/psuedoveinlets - biotite?",,SSLN,SSLN,Lm,3.0,1.5,,,,,HFPR,P,3.0,,,,,,,,,,,C,,4.0,G,2.0,Wacke,Wacke
1219,51.0,81.4,"Sandy siltstone as previous; groundmass bleaching absent, slight reduction in qvn. Minor earthy goeth on larger fractures.",,SSLN,SSLN,Lm,3.0,2.0,,,,,HFPR,Mo,2.0,,,,,,,,,,,C,,4.0,G,1.0,Wacke,Wacke
1219,81.4,178.0,"Pervasive fine xln biotite in groundmass, uniformly dark coloration - continued laminated silstone. ~1% coarse xln bull qtz+py veins as rubble (thickness indeterminate). Very little extant core down to ~110 m - met samples? Minor magnetite, seemingly associated with larger fracts.",,SSLN,SSLN,Lm,3.0,1.0,,,,,HFBM,Pch,2.0,,,,,,,,,,,,,5.0,,,Wacke,Wacke
1219,178.0,205.7,Laminated siltstone with scattered stockwork veining: coarse xln crackle qtz veins up to 2 cm thick (generally planar) with anastomosing B-type veins which are moderately deformed and occasionally boudined. Spotty magnetite near fracts and some vein margins. ~8% quartz veining.,,SSLN,SSLN,Lm,2.0,2.5,0.2,,,1.0,HFBM,P,3.0,,,,,1.0,,,,,,,,,,,Wacke,Wacke
1219,205.7,452.9,"Approximate intrusive contact @ 205.7 m: no extant core from 197-200 m. Monzodiorite(?): plag>kspar+amphibole or biotite. Patchy textural destruction. The bulk of qtz veining is medial sulfide/magnetite type (B-type); the medial bands are mostly magnetite with rarer pyrite. Some orthoclase crystals show irregular mantling (Manenbach/Baveno twinning?) - we might call them 'megacryts', although they are rarely more than 4-5 mm wide. Rare brassy cpy clots, might be pyrhotite - tough to tell with mt everywhere. Qtz+mag+py stockwork veining up to 55% locally; ~25-30% for the interval. Raft of siltstones from 324.5-325.3 m?? might also be a thin intermediate dike??? Single chip of core showing matrix-supp brx @~441.2 m, brx clasts are qtz vn frags (small shear?).",,MONZ,MONZ,Po,3.0,2.7,0.1,,,2.5,,,,,,,,2.0,,,,,B,,B,5.0,,,Monzonite porphyry,Monzonite porphyry
1220,0.0,25.6,No recovery/overburden,,OVBN,OVBN,,,,,,,,,,,,,,,,,,,,,,,,,,Overburden,Overburden
1220,25.6,45.9,"Unknown composition intrusive; 2 visible 5 mm kspar crytals in interval. Crackled qtz+py veins up to~4 cm thick, more prevelent at top of interval. Thick earthy goethite patinas on fracts and rimming veins. Minor carbonate veins annealing minor fracts. Possibly some siltstone rafts in interval, or perhaps a series of porphyritic dikes intruding silstone sequence (what core remains is like the coarse fraction from an RC rig).",,U_INT,MONZ,Po,1.0,1.5,0.2,,,0.1,,,,,,,,,,,,,B,C,B,3.0,G,3.0,Monzonite porphyry,Monzonite porphyry
1220,45.9,91.7,"Intensely altered wallrock; faint fine sand sized detrital grains locally; dark green chlorite in groundmass; no sense of bedding/laminations. RC chips-like remnants. Abnd earthy goethite and some veining, small qtz chips throghout interval.",,U_WR,U_QM_WR,Fg,4.0,1.0,0.2,,,,HFPR,P,3.0,,,,,,,,,,B,C,B,4.0,G,2.0,Quartz Monzonite,Quartz Monzonite
1220,91.7,163.7,"Intenselt altd wallrock, vfg - probably sandy siltstone. Magnetite locally on larger fracts and rare qtz+py vn margins.",,U_WR,U_QM_WR,Fg,3.0,1.5,0.2,,,0.5,HFBM,Pch,3.0,,,,,,,,,,B,,B,5.0,,,Quartz Monzonite,Quartz Monzonite
1220,163.7,244.6,"Qtz+mag altered monzodiorite(?); smaller, elongate, chlorite+ser altered plagioclase<larger white kspar phenos. Asbestiform, 3-4 mm chlorite altered phenos, probably was biotite. Scattered qtz+py stockwork veining; predom medial sulfide bearing veins (B-type). Rare late carb veinlets.",,MONZ,MONZ,Po,3.0,2.0,0.2,,,1.5,,,,,,,,,,,,,B,C,B,5.0,,,Monzonite porphyry,Monzonite porphyry
1220,243.7,244.6,"Msv, coarse xln qtz+py+cpy+mag vein.",,QZ_VN,QZ_VN,,,0.5,0.1,,,0.2,UNA,,,,,,,,,,,,,,,5.0,,,Veins,Veins
1220,244.6,328.7,"Holocrystalline, panidiomorphic intrusive: equant, white kspar>small, elongate green plag>green asbestiform bio(?) or possibly amphibole. Overprinted with B-type fine/med xln qtz vein stockwork and abundant magnetite. Veining up to ~45%, ~25% ave for interval",,MONZ,MONZ,Po,4.0,2.0,0.2,,,2.0,POT1,Pch,3.0,,,,,1.0,,,,,B,,B,5.0,,,Monzonite porphyry,Monzonite porphyry
1220,328.7,369.1,"Intensely altered sed wallrock; msv, coarse xln bull qtz veins up to 4 cm wide crosscutting sub-cm B-type veins ~5mm thick; ~45% qvn over interval; abnd dissem magnetite+biotite in groundmass; magnetite often medial vein suture material.",,U_WR,U_QM_WR,Fg,4.0,2.0,0.2,,,3.0,HFBM,P,4.0,,,,,2.0,,,,,B,,,5.0,,,Quartz Monzonite,Quartz Monzonite
1221,0.0,9.1,No recovery/overburden,,OVBN,OVBN,,,,,,,,,,,,,,,,,,,,,,,,,,Overburden,Overburden
1221,9.1,43.8,"Qtz+mag+bio altered, fine-grained sandy siltstone with interfingering Monzonite composition (plag+kspar+amphibole?) dikes. At least one core fragment (core has been quartered) shows a brecciated intrusive/wallrock contact - could have been some mixing of extant core frags over the years). Guesstimate: 9.1-11.3: siltstone; 11.3-15.3: intrusive; 15.3-22.1: siltstone; 22.1-23: intrusive; 23-31: siltstone; 31-41.8: mostly intrusive with minor siltstne rafts; 41.8-43.8: mostly silstone with thin dikes. All units exhibit qtz+mag+bio altn with quartz stockwork veining up to 40% vein content (rare B-type with prominent magnetite+/-py medial sutures). Very minor goethite on rare fracts - essentially all sulfide.",,U_QM_WR,U_QM_WR,Fg,4.0,1.7,0.2,,,0.8,HFBM,Mo,3.0,,,,,1.0,,,,,B,C,,5.0,,,Quartz Monzonite,Quartz Monzonite
1221,43.8,54.2,"Kspar-plag phyric, Monzodiorite comp intrusive; pervasive B-type and coarser xln qtz srockwork, dark splotches of chlorite+/-biotite, and manetite spatially assoc with vein margins and medial vn sutures.",,MONZ,MONZ,Po,3.0,1.5,0.2,,,2.0,,,,,,,,2.0,,,,,B,,B,5.0,,,Monzonite porphyry,Monzonite porphyry
1221,54.2,62.2,Core consumed/missing,,MC,MC,,,,,,,,,,,,,,,,,,,,,,,,,,Missing,Missing
1221,62.2,144.5,Quartz+magnetite stockwork veining in plag+kspar+ asbestiform amphibole(or biotite?) intrusive. Fairly pervasive textural destruction with dark green/black groundmass composed of qtz+chl+bio (same apparent altn suite as in wallrock). Splashy chalcopyrite clots embayed in coarse xln qvn @~89.4 m.,,MONZ,MONZ,Po,2.0,2.5,0.3,,,3.0,POT1,P,1.0,,,,,3.0,,,,,B,,B,5.0,,,Monzonite porphyry,Monzonite porphyry
1221,144.5,153.6,"Dark brown, aphanitic intermediate/mafic dike; dilated fracture @~149.3 m with bleaching of groundmass, a thin dusting of goethite and what is probably a thin patina of Mn-ox.",,DAND,DMAF,Ap,3.0,,,,,,UNA,,,,,,,,,,,,,,,5.0,,,Mafic dykes,Mafic dykes
1221,153.6,312.1,Quartz+magnetite stockwork veining in intrusive. More pervasive textural destruction than above late mafic dike with dark green/black groundmass composed of qtz+chl+bio (same apparent altn suite as in wallrock). Faint pheno ghosts locally - no guess as to species.,,U_INT,U_QM_WR,Po,1.0,2.0,0.3,,,3.0,POT1,Pch,1.0,,,,,3.0,,,,,B,,B,5.0,,,Quartz Monzonite,Quartz Monzonite
1223,0.0,7.6,"Approx overburden/no recovery zone, sample tags destroyed",,OVBN,OVBN,,,,,,,,,,,,,,,,,,,,,,,,,,Overburden,Overburden
1223,7.6,23.1,"Orthoclase+plag+amphibole(?), holoxline intrusive; rough aligniation of kspar to core axis; elongate plag generally replaced with chlorite. Coarse xln crackle veins up to 2 cm wide, showing offset locally. Kspar xls show uniform post-fractionalization shearing, being x-cut with chl+py+goethite microveinlets. Vein margins commonly have vf xline, wispy, magnetite psuedoselvedges. Potassic altn overprinted by qtz+mag+bio fluid introduction(?). Minor B-type veining; total silica vein content ~8%. Some fracts have thin goeth patinas.",,MONZ,MONZ,Po,4.0,0.7,0.1,,,0.7,POT1,Pch,2.0,,,,,1.0,,,,,B,,,4.0,G,2.0,Monzonite porphyry,Monzonite porphyry
1223,23.1,26.2,Met sample? Missing core,,MC,MC,,,,,,,,,,,,,,,,,,,,,,,,,,Missing,Missing
1223,26.2,44.5,"Monzodiorite intrusive; marked increase in stockwork veining (up to 55%, ave ~35%).",,MONZ,MONZ,Po,4.0,2.0,0.2,,,1.0,POT1,Pch,2.0,,,,,2.0,,,,,B,,B,4.0,G,1.0,Monzonite porphyry,Monzonite porphyry
1223,44.5,50.5,"Dark brown/black, aphanitic, mafic dike. Hairline-to-1 cm wide carb+qtz+chlorite veins locally.",,DMAF,DMAF,Ap,4.0,,,,,,UNA,,,,,,,,,,,,,C,,5.0,,,Mafic dykes,Mafic dykes
1223,50.5,264.0,"Kspar+plag+amph/bio(?), holocryrtstalline intrusive. B-type vein stockwork (~20% ave) being cut by later coarse xln qtz+/-pyrite veins (late, sterile veins?). Patchy dark zones of qtz+mag+bio impregnating groundmass (eg 208 m). Massive coarse xln subhedral py+cpy+/-galena veins up to 5 cm wide (eg 156, 167.5, 191, 213.4 m). Late coarse xln veins up to 30 cm wide (sterile looking): 166.5, 178, 255 m.",,MONZ,MONZ,Po,4.0,2.5,0.4,0.1,,2.5,POT1,Pch,2.0,,,,,3.0,,,,,B,,B,5.0,,,Monzonite porphyry,Monzonite porphyry
1229,0.0,5.2,No recovery/overburden,,OVBN,OVBN,,,,,,,,,,,,,,,,,,,,,,,,,,Overburden,Overburden
1229,5.2,7.1,Sandy siltstone; dark chloritic banding - parallel to S0? Late calcite annealing shears and dilations probably propagated during emplacement of underlying dike. Splotchy hematite staining; reaction rims on some pyrite grains.,,SSLN,SSLN,Fg,4.0,1.0,0.1,,,,HFPR,Fr,2.0,,,,,,,,,,,C,C,4.0,H,2.0,Wacke,Wacke
1229,7.1,10.75,"Very fine crystalline, occasional plag pheno discernable. Qtz+carb+py veins roughly defining upper/lower contacts. Goeth/hem psuedoselvedges rimming py+qtz veinlets.",,MONZ,MONZ,Fg,3.0,0.5,,,,,PRO,Mo,3.0,,,,,,,,,,,C,,4.0,H,2.0,Monzonite porphyry,Monzonite porphyry
1229,10.75,50.0,Sandy siltstone with glassy hornfels altn in 1 cm bands preferentially altering finer grained siltstone beds. Late(?) crackling annealed with cloudy white calcite+/-ankerite. Earthy goethite patinas on fracts to ~50 m; goeth/hem swaths continue throughout extant core as recent oxidation.,,SSLN,SSLN,Fg,4.0,1.7,0.1,,,,HFPR,Pd,3.0,,,,,,,,,,,C,C,4.0,G,1.0,Wacke,Wacke
1229,50.0,206.8,"Predominantly sandy siltstone with wispy 2 mm thick thinly laminated sub-graphitic intercalations. Glassy hornfels overprinting finer grained sections and bleeding along fractures therein. Rare msv py+qtz+cpy vein (eg 82, 130.5 m) up to 10 cm thick. White cloudy carb veining>>coarse xln qtz+ank+py veins. Uniform light to dark green color to groundmass+carb+py.",,SSLN,SSLN,Fg,4.0,2.0,0.1,,,,HFPR,P,4.0,,,,,,,,,,,C,C,5.0,,,Wacke,Wacke
1229,229.6,380.6,"Markedly increased qtz+mt altn and increased silica flooding of groundmass; qtz veining up to 40%, commonly B-type with medial magnetite+py+cpy veins. Possible aplitic dike intrusion from 260.4-267 (multiple discrete intrusions?). Splashy cpy clots and submsv veinlets from 282-286 m.",,U_QM_WR,U_QM_WR,Ap,4.0,3.0,0.4,,,5.0,HFBM,P,4.0,,,,,3.0,,,,,,,,5.0,,,Quartz Monzonite,Quartz Monzonite
1229,380.6,384.8,Very fine crystalline to aphanitic mafic dike.,,DMAF,DMAF,,,,,,,,UNA,,,,,,,,,,,,,,,5.0,,,Mafic dykes,Mafic dykes
1229,384.8,432.4,"Intense qtz+mt+py+cpy altn of siltstone host; 35% qtz veining, commonly B-type. 2% pyrite, submsv sulfide vns up to 1cm thick (eg 425, 426.5 m).",,U_QM_WR,U_QM_WR,Ap,4.0,3.0,0.3,,,7.0,HFBM,P,5.0,,,,,3.0,,,,,,,,5.0,,,Quartz Monzonite,Quartz Monzonite
1229,432.4,450.0,"Holocrystalline, inequigranular intrusive; kspar phenocrysts up to 1.5 cm; qtz+mt+py veins ~35%.",,MONZ,MONZ,Po,4.0,2.5,0.2,,,4.0,HFBM,P,4.0,,,,,2.0,,,,,,,,5.0,,,Monzonite porphyry,Monzonite porphyry
1244,0.0,7.1,No recovery/overburden,,OVBN,OVBN,,,,,,,,,,,,,,,,,,,,,,,,,,Overburden,Overburden
1244,7.1,9.5,"Spotty hornfels altn of sandy siltstone; abnd earthy goeth on fracts. Vuggy qtz+py veins up to 1 cm wide, vesicular appearance (pyrite weathered out).",,SSLN,SSLN,Fg,4.0,0.5,,,,,HFPR,Sp,3.0,,,,,,,,,,,,,3.0,H,3.0,Wacke,Wacke
1244,9.5,20.9,"Fault zone: 2 discrete zones of matrix-supported brx, brx frags angular, perv bleached with silica flooding/ impregnation,  and up to 3 cm wide. Brx matrix is rock flour overprinted with vf xl qtz+carb+pyrite. Sandy siltstone panel btwn brx zones is intensely bleached with local glassy luster - hornfels w/o biotite. Some fresh pyrite encapslated in silica flooded zones rimming brx sections, but otherwise showing uniform reaction rims/thick goeth patinas on fracts.",,FLTZ,FLTZ,Bx,4.0,2.7,,,,,HFPR,Pd,3.0,,,,,,,,brx,2.0,,C,,3.0,H,3.0,Faults,Faults
1244,20.9,97.7,"Pale grey/green, fissile, laminated to thinly laminated siltstone with very minor fine-sand sized detrital component. Pervasive goethite staining groundmass with thick, earthy hematite on fracts and rimming rare qtz+py+carb veinlets.",,SSLN,SSLN,Fg,5.0,1.2,,,,,HFPR,Pch,2.0,,,,,,,,,,,C,,4.0,H,2.0,Wacke,Wacke
1244,97.7,207.2,"Approximate contact inferred; marked color change and about @ redox boundary. Dark green/grey, holocrystalline, fine xln intrusive/porphyry. Approx 15% subhdral feldspar phenocrysts (no guess at species). Coarse crystalline qtz+py+/-cpy veins up to 8 in wide (eg 105.4 m), but generally <2 cm thick. Possibly up to 15% qtz stockwork from ~119-132.2 m (basically remnant RC chips extant). Monz comp is just a guess. B-type veining (not necessarily total qvn %) and magnetite (as medial vein sutures and fine crystalline masses near fracts) increases markedly with depth.",,MONZ,MONZ,Po,3.0,1.5,0.1,,,,POT1,Pch,2.0,,,,,1.0,,,,,B,,B,5.0,,,Monzonite porphyry,Monzonite porphyry
1244,207.2,249.1,"Dark grey/dark green, thickly laminated to thinly bedded sandy siltstone; minor glassy bleached zones immediately near hairline to .5 cm thick qtz+carb+py veins/veinlets.",,SSLN,SSLN,Fg,3.0,1.0,,,,,HFPR,Fr,2.0,,,,,1.0,,,,,,C,,4.0,,,Wacke,Wacke
1245,0.0,6.1,No recovery/overburden,,NREC,OVBN,,,,,,,,,,,,,,,,,,,,,,,,,,Overburden,Overburden
1245,6.1,47.9,"Pale grey/green, predominantly silty sandstone/arkosic silty sandstone; small pebbly intercalations; thickly laminated siltstone towards bottom of interval. Predom carb veining with minor qtz+ank veining.",,WACK,WACK,Fg,3.0,1.5,,,,,HFPR,Pch,2.0,,,,,,,,,,,C,C,4.0,G,1.0,Wacke,Wacke
1245,47.9,145.3,Boxes missing,,MC,MC,,,,,,,,,,,,,,,,,,,,,,,,,,Missing,Missing
1245,145.3,331.6,"Predominantly sandy siltstone; submsv py+qtz vns up to 8"" wide; possible .6 m dike @~239 m. Zones of +10% dissem py in groundmass, ave ~3%. Possibly a 10 cm skarn section @ 265.1 m. (subhedral pyroxene). Predom carb annealing fracts with rare coarse xln qtz+ank veins up to 15 cm thick.",,SSLN,SSLN,Fg,4.0,3.0,,,,,HFPR,P,3.0,,,,,,,,,,,C,,5.0,,,Wacke,Wacke
1245,331.6,477.7,"Top of interval has a 25 cm mafic dike; continued sandy siltstone, pervasive dark green color to groundmass with fine xln bio+chl with minor magnetite. Rare blebs of cpy. Carb absent, B-type veining appears 360 m (medial suture py+/-mag).",,SSLN,SSLN,Fg,4.0,2.7,0.2,,,0.3,HFBM,P,3.0,,,,,1.0,,,,,B,,B,5.0,,,Wacke,Wacke
1245,477.7,493.0,Markedly darker groundmass with abnd fine crystalline biotite+chlorite. More perv bio hornfels altn.,,SSLN,SSLN,Fg,4.0,3.0,0.3,,,0.4,HFBM,P,4.0,,,,,,,,,,B,,B,5.0,,,Wacke,Wacke
1246,0.0,5.7,,,OVBN,OVBN,,,,,,,,,,,,,,,,,,,,,,,,,,Overburden,Overburden
1246,5.7,81.3,"typical massive bedded, occasionally cm scale laminated siltstone to fine sandstone, weakly biotite-py hornfelsed, thin wispy carbonate veinlets, clots, mm scale disseminated py",GT ANG,SSLN,SSLN,Fg,,2.0,,,,,HFPR,P,1.0,,,,,,,,,,,,,5.0,,,Wacke,Wacke
1246,81.3,118.0,"similar to above, start of quartered core",AGT AGN,SSLN,SSLN,,,2.0,,,,,HFPR,P,1.0,,,,,,,,,,,,,5.0,,,Wacke,Wacke
1246,118.0,150.9,"bleaching picks up, coinciden twith py increase and first quartz veins",AY AF,SSLN,SSLN,,,5.0,,,,,HFPR,P,3.0,,,,,,,,,,,,,5.0,,,Wacke,Wacke
