HID_STRG,FROM,TO,OLDLITH,DRILLLOG,COMMENTS,LITH_1,Lith_grouped,Lith_select
SN06-01,75.8,82.9,GW,"Greywacke.  Dark green-grey, fine grained, massive to thin bedded.  Abundant small fragments in places, some rounded.  Minor chorite.  5% quartz veins.  5% fine grained pyrite as disseminations, veinlets and with quartz veins.",Greywacke,GW,Greywacke,
SN06-01,82.9,83.9,QV,"Quartz Vein.  60% quartz veins & 40% siliceous greywacke.  minor chlorite, 1% pyrite.  Siliceous Greywacke.  Siliceous metasediments, indistinct fragments in places.  Biotite, chlorite.  5% white, coarse grained quartz veins up to 5cm thick @ many orientations but preferentially at 55 deg to core axis.  3% pyrite",Quartz Vein,QtzVn,,
SN06-01,83.9,91.8,SG,"Siliceous Greywacke.  Siliceous metasediments, indistinct fragments in places.  Biotite, chlorite.  5% white, coarse grained quartz veins up to 5cm thick @ many orientations but preferentially at 55 deg to core axis.  3% pyrite.",Siliceous Greywacke,SilGW,,
SN06-01,91.8,93.3,QV,Quartz Vein.  Composite of 70% quartz vein and 30% chloritic greywacke.  3% pyrite.,Quartz Vein,QtzVn,,
SN06-01,93.3,99.0,GW,"Greywacke.  70% chloritic greywacke, 30% quartz veins .  Several phases of quartz vein, early thin sheeted variety @ 80 deg tca; later irregular, coarse grained, white variety with minor blue-grey, fine grained variety.  3% fine grained pyrite.",Greywacke,GW,Greywacke,
SN06-01,99.0,99.7,FZ,"Fault Zone.  Gouge, calcite, crumbly core.",Fault Zone,FltZone,,
SN06-01,99.7,104.8,SG,Siliceous Greywacke.  Abundant (20%0) quartz veins preferentially @ 70 deg tca.  5% oyrite.,Siliceous Greywacke,SilGW,,
SN06-01,104.8,106.4,FZ,"Fault Zone.  Gouge, broken core.  3% pyrite.",Fault Zone,FltZone,,
SN06-01,106.4,110.7,GW,"Greywacke.  Fine grained, vague bedding in places, minor ghosted fragments.  Chloritic, 3% quartz veins (very irregular).  4% fine grained pyrite as disseminations and veins.  Trace chalcopyrite as small blebs in quartz veins.",Greywacke,GW,Greywacke,
SN06-01,110.7,117.8,SZ,"Siliceous Greywacke.  Fine grained, dark green-grey, massive (no bedding), hard - variably siliceous.  Brownish cast - suggests very fine grained biotite.  Few small (<5mm) angular, light coloured fragments (clasts) - possibly tuffaceous rock.  3-4% pyrite but locally (10cm) up to 7%. Pyrite occurs as disseminations and in quartz stringers.  Trace disseminated chalcopyrite.  Most of quartz stringers have obscure boundaries and are milky grey-white. Very locally, rock is mainly quartz with some fragments of greywacke",Shear Zone,SilGW,,
SN06-01,117.8,167.4,SG,"Siliceous Greywacke.  Fine grained, dark green-grey, massive (no bedding), hard - variably siliceous.  Brownish cast - suggests very fine grained biotite.  Few small (<5mm) angular, light coloured fragments (clasts) - possibly tuffaceous rock.  3-4% pyrite but locally (10cm) up to 7%. Pyrite occurs as disseminations and in quartz stringers.  Trace disseminated chalcopyrite.  Most of quartz stringers have obscure boundaries and are milky grey-white. Very locally, rock is mainly quartz with some fragments of greywacke",Siliceous Greywacke,SilGW,,
SN06-01,167.4,170.7,SG,"Siliceous Greywacke.  Highly silceous - light to medium grey.  Moderately fractured, mod. quartz veining.  3% pyrite as disseminations and veinlets.  0.4% chalcopyrite as medium grained blebs in quartz veinlets. Also in dark green mineral (dhlorite) veins.",Siliceous Greywacke,SilGW,,
SN06-01,170.7,201.2,SG,"Siliceous Greywacke.  Fine grained, dark green-grey, massive (no bedding), hard - variably siliceous.  Brownish cast - suggests very fine grained biotite.  Few small (<5mm) angular, light coloured fragments (clasts) - possibly tuffaceous rock.  3-4% pyrite but locally (10cm) up to 7%. Pyrite occurs as disseminations and in quartz stringers.  Trace disseminated chalcopyrite.  Most of quartz stringers have obscure boundaries and are milky grey-white. Very locally, rock is mainly quartz with some fragments of greywacke",Siliceous Greywacke,SilGW,,
SN06-02,0.0,5.2,OB,"Overbuden, casing, no recovery","Overbuden, casing, no recovery",Casing,,
SN06-02,5.2,11.0,GW,"Greywacke.  Medium green-grey, featureless to weakly bedded, fine grained, dense, hard and siliceous.  Fresh, un-weathered except oxidized (limonitic) @ 7-8 meters.  Slight brownish tinge (biotite?).  3-5 % white, irregular quartz veins, many parallel to core axis.  5% pyrite as as fine grained disseminations, veinlets and in quartz veins. Pyrite veinlets form stockwark in places.  1-3% diss fine grained magnetite, few blebs up to 2mm.  Trace fine grained chalcopyrite",Greywacke,GW,Greywacke,
SN06-02,11.0,20.7,SG,"Siliceous Greywacke.  Light grey, hard.  Well fractured.  3% quartz veins, mainly thin but up to 1 cm.  5% pyrite as veinlets, commonly enveloped by chlorite - veinlets in many orientations and form stockworks.  1% disseminated magnetite, tr biotite.",Siliceous Greywacke,SilGW,,
SN06-02,20.7,100.1,GW,"Greywacke (Continued from page 1).  2% quartz veins Two main types of quartz veins - thin tension veins commonly perpendicular perpendicular to core axis and thicker, irregular m.g. white-grey type parallel to c.a..  Thicker quartz veins contain 5-7% pyrite - 2% qv overall.  3% Pyrite as disseminations and thin veinlets, also associated with magnetite in veinlets .  Remnant bedding observed (mainly @ 20 - 40 deg tca).  2-3% magnetite throughout, locally (10cm) sections with 5% - mainly diss but also in veins with pyrite and quartz .",Greywacke,GW,Greywacke,
SN06-02,100.1,105.8,GW,Greywacke (continued from previous page).  Same as above but with more abundant quartz or quartz-epidote veins - preferred at 70 deg tca.  Thick (up to 1 cm) quartz veins commonly with blebs of chalcopyrite.  3-4% pyrite.  0.2-0.2% cpy as blebs in quartz-epidote veins also as thin veinlets.  Minor biotite  magnetite and chlorite - magnetite is disseminated but also in qtz-epi-cpy veins.,Greywacke,GW,Greywacke,
SN06-02,105.8,107.3,QV,"Quartz Vein.  Blue-grey, cloudy, fine grained.  30% remnant wall rock. White coarse grained quartz veins cuts the blue-grey variety.  7% pyrite as blebs and veinlets.  0.1% cpy, 1% mt.",Quartz Vein,QtzVn,,
SN06-02,107.3,132.4,GW,"Greywacke.  Mainly featureless, massive, not banded.  Brownish tinge (biotite?).  Weak to moderately siliceous (hard) .  1% fine grained, light brown corroded mineral (garnet?).  Several generations of quartz veining - early milky, grey, cloudy variety (this cloudy qv is very irregular in shape - sauiggly to lenticular) and later thin, white, coarse grained variety. Quartz vein rich zone @ 126.5-129.2.  5% pyrite as disseminations, veinlets and in qv.  2% magnetite but locally up to 5% over 10 cm. Possible that cpy abundance is related to magnetite content .  Trace epidote but more abundant toward bottom of section.  0.1% cpy as diss and veinlets",Greywacke,GW,Greywacke,
SN06-02,132.4,145.1,SG,"Siliceous Greywacke.  Medium grey, hard and dense (resembles hornfels).  Brownish tinge (biotite).  1% epidote as small blebs (possibly alteration product after primary mineral).",Siliceous Greywacke,SilGW,,
SN06-02,145.1,147.7,QV,"Quartz-carbonate-talc Vein.  Creamy white with yellowish cast.  Moderately soft, brecciated (poss. In fault zone).  2% pyrite - 1% fine grqained magnetite.",Quartz-carbonate-talc Vein,QtzVn,,
SN06-02,147.7,157.0,SG,"Siliceous Greywacke.  Fine grained, featureless, except minor, vague, banding (bedding?) sub-parallel to core axis.  Abundant biotite, 1% epidote as small blegs and stringers.  3% quartz veins (cloudy, indistinct, fine grained) sub-parallel to core axis. Also thick sections with abundant large blebs of quartz.  3% pyrite as disseminations and fine stringers (preferentially sub-parallel to core axis). .  1% fine grained magnetite.",Siliceous Greywacke,SilGW,,
SN06-02,157.0,186.2,GW,"Greywacke (Coninued from page 3).  4-5% pyrite as diss, stringers and in qv.  1% magnetite overall but variable.",Greywacke,GW,Greywacke,
SN06-02,186.2,201.5,SG,"Siliceous Greywacke.  Grey, hard, dense, variably siliceous.  3% quartz veins; very irregular, squiggly, broken, faulted many sub-parallel to core axis.  5% pyrite as diss, veinlets and in quartz veins.  Trace epidote and biotite.",Siliceous Greywacke,SilGW,,
SN06-03,0.0,11.6,OB,"Overburden, casing, no recovery","Overburden, casing, no recovery",Casing,,
SN06-03,11.6,25.0,GW,"Greywacke.  Fine grained, dark green grey, featureless, fragmental (clasts) locallly.  Weakly siliceous.  2-3% thin, squiggly, blue-grey, cloudy quartz veins.  5% fine grained to medium grained pyrite as disseminations, veinlets and in quartz veins. Pyrite is more abundant where qv are more concentrated.  1% magnetite.  0.2% cpy as fine grained blebs, mainly in are around quartz veins.",Greywacke,GW,Greywacke,
SN06-03,25.0,28.5,SG,"Siliceous Greywacke.  Light to medium grey (bleached appearance), variably silieous.  More abundant quqrtz veins than unit above. Quartz veins are very irregular (toothpaste, squiggly) and have dark green (shloritic?) in places.  6-7% pyrite. Common in chloritic zones.  0.3% chalcopyrite as small blebs and stringers.",Siliceous Greywacke,SilGW,,
SN06-03,28.5,89.3,GW,"Greywacke (continued from previous page).  Dusty medium blue-grey mineral on some fracs.  5% quartz veins. Veins are composes of medium grained, white-grey, squiggly, toothpaste-like, broken.  4% pyrite as disseminations, veinlets and small blebs in quartz veins.  0.1 - 0.2 % cpy as diss. Stringers and in qv. Mainly concentrated where qv are more abundant.  Trace fine grained magnetite ( more abundant near quartz veins. Seems to be a correlation between cpy, py, qv and mt.",Greywacke,GW,Greywacke,
SN06-03,89.3,127.9,SG,"Greywacke.  Fine grained, dark green grey, featureless, fragmental (clasts) locallly.  Weakly siliceous.  2-3% thin, squiggly, blue-grey, cloudy quartz veins.  5% fine grained to medium grained pyrite as disseminations, veinlets and in quartz veins. Pyrite is more abundant where qv are more concentrated.  1% magnetite.  0.2% cpy as fine grained blebs, mainly in are around quartz veins.",Siliceous Greywacke,GW,Greywacke,
SN06-03,127.9,203.0,GW,"Greywacke.  Dark green-grey, fine grained, mainly featureless but faint bedding in places, also few clasts of lighter coloured rock.  Bedding (thin) more common toward bottom of hole and preferentially at 65 deg tca.  Note: Vagueness of primary features and crystalline nature of minerals suggest that entire package has been weakly metamorphosed (cooked).  Minor sections up to meters long that are weakly to moferately siliceous.  Minor biotite and chlorite.  Weakly fractured.  .  3% quartz veins ( white grey and medium grained) at all angles to core axis but slight preference for 70-80 deg tca. Veisn are commonly squiggly but some are planar and up to 5 cm thick.  3% pyrite overall but increases downhole to 4%.  Epidote in qv @ 165-175.  0.2% cpy; almost all as med. Grained blebs in qv, minor disseminations and stringers but most abundant in proximity to qv.",Greywacke,GW,Greywacke,
SN06-04,0.0,6.1,OB,"Casing, no recovery","Casing, no recovery",Casing,,
SN06-04,6.1,27.3,SG,"Siliceous Greywacke.  Variably altered (siliceous) as shown mainly by colour and hardness.  In places rock is foliated @ 50-60 deg tca.  Abundant quartz veins @ 6.1 to 23.2; Veins preferentially aligned at 50-60 deg tca; Several quartz vein types - cloudy, blue-grey squiggly & white, medium grained varieties; Some quartz veins are brecciated.  5% pyrite, mainly concentrated in quartz veins and more siliceous zones.  0.1 - 0.2% chalcopyrite as small blebs (mainly in and around qv).  1% fine grained magnetite (locally up to 3%).",Siliceous Greywacke,SilGW,,
SN06-04,27.3,34.8,FZ,"Fault Zone.  Broken core, gouge, soft.  10% white, quartz veins - broken in chunks.  Abundant dark green,  grainy clay mineral (chlorite).  In one place have large warped platey mineral - metallic blue-grey (moly - check assays).",Fault Zone,FltZone,,
SN06-04,34.8,36.9,SG,"Siliceous Greywacke.  Same as unit at 6.1-27.3.  Squiggly qv - brecciated in places, weird purple-blue-grey ductile mineral.  1% pyrite, 0.1% cpy.",Siliceous Greywacke,SilGW,,
SN06-04,36.9,38.0,QV,"Quartz Vein.  White, coarse grained, minor chlorite wisps.  Mixed with remnants of altered greywacke.  Some gouge, possible fault zone with abundant qv.  1% disseminated fine grained pyrite.  0.1% cpy.",Quartz Vein,QtzVn,,
SN06-04,38.0,45.4,QV,"Quartz Vein.  Mixed white quarz vein and altered (clay) greywacke, Some gouge, possibly a fault zone with abundant qv.  1% disseminated fine grained diss pyrite.",Quartz Vein,QtzVn,,
SN06-04,45.4,51.5,FZ,"Fault Zone.  Broken core, gouge, 5% white qv (sub-parallel to ca) .  Trace pyrite.",Fault Zone,FltZone,,
SN06-04,51.5,55.4,SG,"Siliceous Greywacke.  Same as unit @ 6.1-27.3.  5% blue-grey qv.  2-3% pyrite, 0.2% cpy - mainly in qv.",Siliceous Greywacke,SilGW,,
SN06-04,55.4,57.0,QV,"Quartz Vein.  White, coarse grained.  Wisps and lenses of chlorite.  trace pyrite in chloritic material.",Quartz Vein,QtzVn,,
SN06-04,57.0,63.1,FZ,"Fault Zone.  Broken core, blocky.  gouge, 10% broken qv.",Fault Zone,FltZone,,
SN06-04,63.1,119.7,SG,"Siliceous Greywacke (continued from previous page).  Variably siliceous from 105.4-119.7.  Minor (1%) qv except 5% @ 105.4-119.7. Preferentielly oriented at 30 deg tca, sheeted or brecciated very locally - mainly squiggly (toothpaste-like).  Mod. Fractured, creckle texture in places, fracs filled with chlorite in places.  2% pyrite.  tr - 0.1% cpy, mainly in qv (locally up to 5% over 20 cm intervals).  1% magnetite.",Siliceous Greywacke,SilGW,,
SN06-04,119.7,186.3,GW,"Greywacke.  Fine grained, dark green-grey .  Moderately fractured except more fractured @ 127.6-135.7 & 144.7-154.2.  1% qv - squiggly white or planar (30-40 deg tca). White qv @ 179.9 - 180.2 & 183.1 - 183.3. .  Chloritic, very minor epidote.  2% diss magnetite.  Trace cpy as med grained blebs concentrated in qv - py and cpy more abundant from 163 - 186.3.  Powdery blue-grey-purple mineral on some fracs.",Greywacke,GW,Greywacke,
SN06-04,186.3,222.7,SG,"Siliceous Greywacke.  Bleached, light to medium grey, variable.  Fine grained, featureless.  Moderately fractured, thin qv @ 35 deg tca.  Quartz - sulphide rich veins average 1cm thick but can be up to 5cm thick. Commonly display chloritic selvages.  1% pyrite and tr - 0.2% cpy (mainly in qv) but also in stringers.  1% magnetite.  Uncommon yellow-buff platey mineral, in stringers and knots.  Trace epidote, sericite and muscovite? - mainly near bottom of section at 219 - 222.7",Siliceous Greywacke,SilGW,,
SN06-04,222.7,224.0,DB,"Diabase Dyke.  Fine grained, massive, brown-grey.  Salt and pepper texture with 5% black and 5% white microcrysts.  Hangingwall contact @ 20 deg tca, footwall contact gradational (difficult to isolate).",Diabase Dyke,DiaDyke,,
SN06-04,224.0,229.0,GW,"Greywacke (continued from previous page).  Trace brown-buff platey mineral (muscovite?).  Chloritic - mainly in qv and along fracs.  1% pyrite, trace cpy.  1% magnetite except more in and around qv.",Greywacke,GW,Greywacke,
SN06-04,229.0,233.0,SG,"Siliceous Greywacke.  Variably altered (siliceous) as shown mainly by colour and hardness.  In places rock is foliated @ 50-60 deg tca.  Abundant quartz veins @ 6.1 to 23.2; Veins preferentially aligned at 50-60 deg tca; Several quartz vein types - cloudy, blue-grey squiggly & white, medium grained varieties; Some quartz veins are brecciated.  5% pyrite, mainly concentrated in quartz veins and more siliceous zones.  0.1 - 0.2% chalcopyrite as small blebs (mainly in and around qv).  1% fine grained magnetite (locally up to 3%)",Siliceous Greywacke,SilGW,,
SN06-04,233.0,235.9,GW,"Greywacke.  Similar to unit above..  Mod. Fractured with chlorite or pyrite.  Chloritic - mainly in qv and along fracs.  1% pyrite, trace cpy - mainly in qv.  1% magnetite except more in and around qv.",Greywacke,GW,Greywacke,
SN06-05,0.0,12.8,OB,"Overburdern, casing, no recovery","Overburdern, casing, no recovery",Casing,,
SN06-05,12.8,17.9,GW,"Greywacke.  Dark green-grey, fine grained.  Orange-brown weathering (oxidation), broken core.  Local foliation defined by stretched fragments, quartz veins @ 30-40 deg to core axis.  5% qv.  3% pyrite as disseminations and stringers.  Possible diabase dyke @ 14.9-15.5.",Greywacke,GW,Greywacke,
SN06-05,17.9,20.4,DB,"Diabase Dyke.  Fine grained, dense, competant, brown-grey, massive.  5% fine, white plag(?) microcrysts and also 5% very fine grained black microcrysts.  Contacts not apparent.  No quartz veins.  1% diss mt.",Diabase Dyke,DiaDyke,,
SN06-05,20.4,40.3,SG,"Siliceous Greywacke.  Light to medium grey, hard, variably siliceous, lower part is less siliceous.  Weak fabric @ 50 deg tca defined by elongated fragments and mineral trains.  3% irregular white qv but slight pref for 60 deg tca.  1% py, 1% mt, trace cpy (mainly in qv).",Siliceous Greywacke,SilGW,,
SN06-05,40.3,46.3,DB,Diabase Dyke.  Same as above.  1% diss f.g. magnetite.  contacts gradational.,Diabase Dyke,DiaDyke,,
SN06-05,46.3,63.1,SG,"Siliceous Greywacke.  Grey, bleached, some sections are less siliceous.  3-5% qv except 5-10% @ 46.3 - 50.0.  1% epidote blebs in places.  2% py, 0.1% cpy - mainly concentrated in qv.",Siliceous Greywacke,SilGW,,
SN06-05,63.1,109.2,GW,"Greywacke.  Dark green-grey, fine grained, mainly featureless but minor vague bedding in places.  Moderately fractured with chlorite in fracs.  2% quartz veining, white barren and grey-white with sulphides.  Quartz-epidote veins rarely, also small epidote clots.  Trace biotite.  1% fine grained magnetite.  1% fine grained pyrite wne trace cpy.",Greywacke,GW,Greywacke,
SN06-05,109.2,111.5,SG,"Greywacke.  Dark green-grey, fine grained.  Orange-brown weathering (oxidation), broken core.  Local foliation defined by stretched fragments, quartz veins @ 30-40 deg to core axis.  5% qv.  3% pyrite as disseminations and stringers.  Possible diabase dyke @ 14.9-15.5.",Siliceous Greywacke,GW,Greywacke,
SN06-05,111.5,121.0,GW,"Greywacke.  Same as unit at 63.1-109.2.  More siliceous zone a 118.0 - 118.5. Generally siliceous zones have more qv, sulphides and fractures.  3-4% qv, trace epidote.",Greywacke,GW,Greywacke,
SN06-05,121.0,130.1,SG,Siliceous Greywacke.  3% qv and mod fractures - both pref 30 deg tca.  1% magnetite.  1% py and tr cpy as diss and aligned along fracs and qv.,Siliceous Greywacke,SilGW,,
SN06-05,130.1,136.2,GW,"Greywacke.  Dark green-grey, fine grained.  Orange-brown weathering (oxidation), broken core.  Local foliation defined by stretched fragments, quartz veins @ 30-40 deg to core axis.  5% qv.  3% pyrite as disseminations and stringers.  Possible diabase dyke @ 14.9-15.5.",Greywacke,GW,Greywacke,
SN06-05,136.2,145.0,SG,"Siliceous Greywacke.  Bleached, grey. Fine frained.  Abundant fractured filled with chorite.  Chilled (finer grained) margins.",Siliceous Greywacke,SilGW,,
SN06-05,145.0,148.2,DB,Not Recorded In Final Log,Diabase Dyke,DB,,
SN06-05,148.2,150.7,GW,"Greywacke.  Same as 111.5 - 121.0.  Minor siliceous zones.  3-4% qv, trace epidote.  1% fine grained magnetite.  1% fine grained pyrite .",Greywacke,GW,Greywacke,
SN06-05,150.7,154.0,DB,"Diabase Dyke.  Brown-grey, fine grained massive.  1% very fine grained black microcrysts and 1% cloudy white fine crystals.  Chilled (finer grained) margins.",Diabase Dyke,DiaDyke,,
SN06-05,154.0,157.9,SG,"Greywacke.  Dark green-grey, fine grained.  Orange-brown weathering (oxidation), broken core.  Local foliation defined by stretched fragments, quartz veins @ 30-40 deg to core axis.  5% qv.  3% pyrite as disseminations and stringers.  Possible diabase dyke @ 14.9-15.5.",Siliceous Greywacke,GW,Greywacke,
SN06-05,157.9,161.4,QV,"Quartz Vein.  White, 95% quartz with minir chlorite and epidote.  Very minor amounts of xenolithic material - more common toward bottom of vein.  1% mg py.  1% magnetie.  Trace cpy.",Quartz Vein,QtzVn,,
SN06-05,161.4,181.1,SG,"Siliceous Greywacke.  Grey, fine grained, featureless except local vague thin bedding.  Variably siliceous except very siliceous @ 161.4 - 167.1.  Moderately fractured, preferentially @ 40 deg tca.  3% quartz veins.  1% epidote in qv and blebs (mainly on fracs).  2% pyrite.  1% magnetite.  Trace cpy.",Siliceous Greywacke,SilGW,,
SN06-05,181.1,191.5,GW,"Greywacke.  Dark green-grey, fine grained.  Orange-brown weathering (oxidation), broken core.  Local foliation defined by stretched fragments, quartz veins @ 30-40 deg to core axis.  5% qv.  3% pyrite as disseminations and stringers.  Possible diabase dyke @ 14.9-15.5.",Greywacke,GW,Greywacke,
SN06-05,191.5,198.0,SG,"Siliceous Greywacke.  Gradational contacts with hw and fw (just based on degree of silicification).  5% quartz veins (commonly irregular in shape).  1% pyrite, trace mt, tr cpy.",Siliceous Greywacke,SilGW,,
SN06-05,198.0,206.3,GW,"Greywacke.  Variably siliceous.  4% qv - mostly thin and all orientations.  Trace epidote - mainly on fracs and in qv.  <1% mt, 1% py, and tr cpy (widely dispersed small flecks).",Greywacke,GW,Greywacke,
CS95-209,3.7,152.7,GW,,,GW,Greywacke,
CS95-209,152.7,186.4,GW,,,GW,Greywacke,
CS95-209,186.4,218.0,GW,,,GW,Greywacke,
CS95-209,218.0,253.8,GW,,,GW,Greywacke,
CS95-209,253.8,276.1,FRAG,,,FRAG,Greywacke,
CS95-209,276.1,322.6,GW,,,GW,Greywacke,
CS95-210,3.0,179.0,GW,,,GW,Greywacke,
CS95-210,172.3,172.9,LAMP,,,LAMP,Dykes,
CS95-210,179.0,319.5,FRAG,,,FRAG,Greywacke,
CS95-211,3.0,398.8,FRAG,,,FRAG,Greywacke,
SC91-01,0.0,2.0,CSG,,,CSG,,
SC91-01,2.0,4.0,FELS,"aphanitic, massive mottled smoky grey, highly siliceous unit contains 5-10% sericite, minor chloritic alteration occurs at the botton of the unit with a 10cm wide band of semi massive py,  sulphides are 5-10%, 5% sp, 1% cp, tr ga",,FELS,,
SC91-01,4.0,5.0,ANTF,"fieng rained, pale grey, laminated with lapilli, laminae are 25 degrees t.c.a., contorted beds are common, ubiquitous alteration consists mostly of sericite 30% and minor chloirte (10%)",,ANTF,,
SC91-01,5.0,7.6,FELS,"same as 2-4 except less sulphides, 5% py, 3% sp",,FELS,,
SC91-01,7.6,12.5,ANTF,"aphanitic to fine grained, laminated to massive lapilli are subrounded from <0.1cm to 1.0cm, laminae are weakly contorted with an average angle of 35 degrees t.c.a., chloritic alteration is ubiquitous (30%) white sericite is more pronounced but occurs as 10-90cm wide patches usually with silicification, sulphide mineralization is limited to 1-3% py with trace cpy grains occuring with ser/sil alteration @ 7.0-10.0",,ANTF,,
SC91-01,12.5,13.6,WACK,"fine grained, black massive granular, contains 5% subangular fragments which may be ash or lapilli fragments, contains numerous alteration patches esp. @ 12.6-13.0m well developed silica/sericite, chloritic alteration occurs @ contacts, 60cm wide qtz vein @ 13.0-13.6, upper contact 20 degrees t.c.a., lower contact dittuse and contorted",,WACK,Greywacke,
SC91-01,13.6,18.6,ANTF,"fine to med grained, light to dark mottled grey, varies from massive xtl (?) Tuff to finely laminated ash tuff, als contains minor beds of above wacke (<10cm), laminae are 0-20 degrees t.c.a. 2% qtz veining, 5-7% pyrite occurs as diss grains and clusters, subparallel to laminae planes, 15% py @ 16.4-16.8 with patch silicification",,ANTF,,
SC91-01,18.6,25.0,FELS,"aphanitic, massive siliceous, mottled pale grey, mod foliation @ 25 degrees t.c.a., highly siliceous with ubiquitous sericite, 2 stages of veining - dark to light smokey grey parallel t.c.a. and qtz-carb stringer perpendicular t.c.a.; 15% py with ty pyrrhotite throughout either diss or as clusters",,FELS,,
SC91-01,25.0,30.6,ANTF,"fien grained mottled dark grey laminated with 10% lapilli @ 30 degrees t.c.a., alteration ~20% sericite, 20% carbonate; 1% carb stringers parallel t.c.a. except @ 26.3-26.5 where they are highly contorted, 3-5% py controlled by laminae",,ANTF,,
SC91-01,30.6,32.0,WACK,same as 12.5-13.6,,WACK,Greywacke,
SC91-01,32.0,35.7,ANTF,highly silicified - same as 7.6-12.5,,ANTF,,
SC91-01,35.7,48.5,ANTF,"fine grained, mottled pale/dark grey laminated @ 40 degrees t.c.a.; lapilli are sub rounded and mod stretched along laminae planes -> beds are highly contorted bu most are parallel, alteration is 30% sericite and is ubiquitous, sulphide mineralization consists of 10% sp, 5% py, <1% cp, <1% po, tr ga",,ANTF,,
SC91-02,0.0,3.0,CSG,,,CSG,,
SC91-02,3.0,5.9,ANTF,"fine grained, mottled dark grey, laminated, laminae are thin and generally contorted, average angle t.c.a. ~25-35 degrees; alteration consists of ubiquitous sericite and local silicification; mineralization consists of py, sp, cp, sp&cp occur as clusters and diss grains within bands <4cm wide, may or may not be controlled by bedding planes, cpy occurs as rare grains within bedding planes",,ANTF,,
SC91-02,4.8,5.1,L/D,minor unmineralized moodoo volcanic dyke with <40% biotite 90 degrees t.c.a.,,L/D,,
SC91-02,5.9,7.7,FELS,"very fine grained to aphanitic, light smoky grey, massive to very eakly limeated @ 10 degrees t.c.a., indicated by thin wispy stringers of chlorite, unit is highly siliceous with only limited chl/ser alteration (<10%), mineralization is limited to py as diss and weakly developed stringers.",,FELS,,
